City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port augusta,0,AU,1603843168,72,-32.5,137.77,290.15,3.1
Upernavik,0,GL,1603843044,78,72.79,-56.15,264.5,2.49
Nongpoh,0,IN,1603843470,95,25.9,91.88,291.94,1.08
Navolato,0,MX,1603843351,51,24.77,-107.69,300.37,6.71
Waipawa,100,NZ,1603843470,72,-41.41,175.52,288.71,5.7
Denia,2,ES,1603843290,47,38.84,0.11,289.26,3.57
Luganville,75,VU,1603843470,69,-15.53,167.17,301.15,3.1
Cascais,95,PT,1603843471,94,38.7,-9.42,289.26,3.91
Straumen,0,NO,1603843471,93,63.87,11.3,279.82,4.1
Paamiut,80,GL,1603843471,84,61.99,-49.67,270.75,7.88
Carbonia,20,IT,1603843471,93,39.17,8.52,286.48,2.1
Zabid,21,YE,1603843471,57,14.2,43.32,299.44,1.35
Ambilobe,1,MG,1603843214,88,-13.2,49.05,294.92,1.31
Ewa beach,1,US,1603843472,69,21.32,-158.01,301.15,2.61
Yatou,51,CN,1603843472,46,37.15,122.38,287.23,4.87
Yeppoon,2,AU,1603843472,61,-23.13,150.73,300.15,0.5
Korcula,20,HR,1603843472,93,42.96,17.14,286.15,1.5
Lafiagi,22,NG,1603843473,48,8.87,5.42,299.06,1.45
Sept-iles,20,CA,1603843463,73,50.2,-66.38,270.93,3.6
Gulmarg,0,IN,1603843473,74,34.05,74.39,275.24,0.89
Russellville,90,US,1603843473,87,35.28,-93.13,282.59,1.5
San lorenzo,0,PY,1603843370,47,-25.33,-57.53,300.15,2.1
Kalabo,52,ZM,1603843474,36,-14.97,22.68,297.41,1.27
Jinxiang,2,CN,1603843474,76,27.43,120.61,292.5,3.76
Montmagny,75,FR,1603843474,93,48.97,2.35,285.37,2.6
Sao borja,0,BR,1603843323,68,-28.66,-56,290.12,2.68
Ibra,2,OM,1603843474,81,22.69,58.53,289.57,1.02
Campos sales,98,BR,1603843475,72,-7.07,-40.38,297.01,1.96
Moron,0,AR,1603843135,69,-34.65,-58.62,291.48,2.68
Ferrol,20,ES,1603843475,87,43.48,-8.24,288.71,2.1
Arraial do cabo,0,BR,1603843151,94,-22.97,-42.03,296.15,5.7
Zarate,0,AR,1603843475,55,-34.1,-59.03,291.15,5.7
Kokrajhar,0,IN,1603843475,85,26.4,90.27,294.04,2.14
Ogaminana,0,NG,1603843475,78,7.59,6.22,297.12,1.48
Marsaxlokk,0,MT,1603843188,66,35.84,14.54,290.93,6.71
Briancon,68,FR,1603843476,77,44.9,6.65,279.26,0.73
Wasserbillig,75,LU,1603843476,100,49.71,6.5,283.15,5.1
Severo-kurilsk,9,RU,1603843053,78,50.68,156.12,280.48,2.6
Itarema,74,BR,1603843131,81,-2.92,-39.92,298.9,5.75
La romana,40,DO,1603843215,94,18.43,-68.97,298.15,2.6
Bilopillya,29,UA,1603843477,64,51.15,34.31,281.13,4.06
Vila,100,PT,1603843477,96,42.03,-8.16,285.37,2.24
Kijang,98,KR,1603843406,71,35.24,129.21,287.15,2.1
Mecca,0,SA,1603843346,63,21.43,39.83,295.89,0.56
Lagoa,100,PT,1603843477,61,39.05,-27.98,290.14,2.84
Warwick,90,US,1603843181,62,41.7,-71.42,285.15,4.1
Tokur,99,RU,1603843478,95,53.13,132.9,270.94,0.85
Rajanpur,0,PK,1603843478,23,29.1,70.33,293.67,3.24
Pingyin,100,CN,1603843478,67,36.28,116.45,287.59,2.48
Santa luzia,20,BR,1603843382,78,-19.77,-43.85,299.15,2.6
Calbuco,90,CL,1603843479,87,-41.77,-73.13,282.15,5.7
Xining,37,CN,1603843245,94,36.62,101.77,271.92,0.57
Oranjemund,21,NA,1603843197,89,-28.55,16.43,286.82,1.64
Ofunato,40,JP,1603843479,93,39.07,141.72,280.15,2.1
Stornoway,100,GB,1603843480,93,58.21,-6.39,279.15,1
Bowen,40,AU,1603843470,65,-20.02,148.23,300.15,2.1
Ust-kalmanka,98,RU,1603843480,78,52.12,83.31,275.31,5.98
Rognan,71,NO,1603843480,86,67.1,15.39,278.15,1.94
Mosquera,75,CO,1603843480,87,4.71,-74.23,287.15,1.5
Kabanjahe,40,ID,1603843480,100,3.1,98.49,298.15,2.1
Terney,76,RU,1603843481,63,45.05,136.61,281.82,0.87
Betong,98,TH,1603843481,91,5.77,101.07,295.96,0.62
Zahir pir,0,PK,1603843481,26,28.81,70.52,291.58,2.45
Novoagansk,53,RU,1603843481,94,61.94,76.66,261.77,6.07
Abu kamal,0,SY,1603843482,25,34.45,40.92,292.27,3.08
Sisimiut,0,GL,1603843482,87,66.94,-53.67,265.68,3.34
Champerico,40,GT,1603843140,66,14.3,-91.92,303.15,3.1
Labytnangi,96,RU,1603843482,94,66.66,66.42,258.7,1.5
Bunia,97,CD,1603843482,91,1.57,30.25,291.08,0.99
Puerto colombia,40,CO,1603843176,74,10.99,-74.95,302.15,5.7
Lander,1,US,1603843483,63,42.83,-108.73,273.15,0.73
Wanxian,100,CN,1603843483,85,30.8,108.39,289.12,1.85
Jumla,0,NP,1603843483,50,29.27,82.18,278.72,2.29
Ahuimanu,40,US,1603843483,69,21.44,-157.84,300.15,1.37
Lazaro cardenas,67,MX,1603843375,82,17.96,-102.2,301.15,4.33
Bonavista,100,CA,1603843166,83,48.65,-53.11,276.48,1.34
Katy,75,US,1603843336,100,29.79,-95.82,290.15,6.2
Magistralnyy,100,RU,1603843484,98,56.17,107.45,271.27,2.23
Kungurtug,72,RU,1603843484,81,50.6,97.52,269.67,1.54
Anse-bertrand,0,GP,1603843484,94,16.47,-61.51,297.15,0.5
Porvoo,100,FI,1603843484,96,60.39,25.67,282.04,0.45
Rio grande,100,BR,1603843485,99,-32.03,-52.1,290.37,4.92
Zhongshan,91,CN,1603843485,77,21.32,110.58,297,6.34
Makubetsu,75,JP,1603843485,81,45.37,141.82,282.15,4.1
Mount pleasant,1,US,1603843289,100,32.79,-79.86,295.37,2.92
Port macquarie,71,AU,1603843134,65,-31.43,152.92,295.37,0.89
Brae,11,GB,1603843161,81,60.4,-1.35,282.15,5.7
Sidi ali,0,DZ,1603843486,75,36.1,0.42,287.24,2.32
Moose factory,90,CA,1603843228,59,51.26,-80.61,275.15,5.7
Dzaoudzi,20,YT,1603843486,83,-12.79,45.27,297.15,1
Lalibela,0,ET,1603843486,49,12.03,39.03,284.33,1.82
Kabo,20,CF,1603843487,83,7.7,18.63,296.3,1.38
Miri,20,MY,1603843487,94,4.41,114.01,298.15,1.5
Amuntai,97,ID,1603843487,84,-2.42,115.25,299.52,0.23
Khingansk,81,RU,1603843487,87,49.12,131.18,274.25,1.13
Usinsk,100,RU,1603843487,98,65.99,57.53,271.47,6.78
Villazon,8,BO,1603843487,35,-22.09,-65.59,287.78,2.04
Azul,32,AR,1603843487,74,-36.78,-59.86,286.78,1.72
Leesburg,90,US,1603843414,77,39.12,-77.56,288.71,2.1
Yabelo,25,ET,1603843488,97,4.88,38.08,288,3.16
Polunochnoye,98,RU,1603843488,96,60.87,60.42,269.72,2.21
Shirochanka,37,RU,1603843489,72,46.65,38.4,285.31,6.95
La seyne-sur-mer,31,FR,1603843489,66,43.1,5.88,286.48,1.34
Teguise,75,ES,1603843489,73,29.06,-13.56,294.15,4.6
Puerto asis,75,CO,1603843489,94,0.51,-76.5,298.15,1
Pozoblanco,0,ES,1603843489,87,38.38,-4.85,283.15,0.35
Talnakh,0,RU,1603843490,82,69.49,88.4,252.86,2.45
Buta,98,CD,1603843490,97,2.79,24.73,294.62,0.5
Mabaruma,11,GY,1603843490,95,8.2,-59.78,297.02,1.08
Qandala,22,SO,1603843199,57,11.47,49.87,296.75,1.28
Hambantota,73,LK,1603843166,82,6.12,81.12,298.74,2.92
Ugoofaaru,2,MV,1603843491,77,5.67,73,300.96,3.97
Anadyr,40,RU,1603843183,85,64.75,177.48,265.15,2
Igrim,100,RU,1603843491,97,63.19,64.42,266.5,2.27
Abu dhabi,0,AE,1603843491,65,24.47,54.37,298.15,2.1
Robertsport,100,LR,1603843491,83,6.75,-11.37,300.26,4.41
Caravelas,82,BR,1603843492,88,-17.71,-39.25,298.43,4.87
Danville,1,US,1603843304,82,36.59,-79.39,292.15,2.1
Saint pete beach,40,US,1603843492,83,27.73,-82.74,302.59,3.6
Marienburg,69,PL,1603843492,90,54.04,19.03,280.37,0.89
Lakes entrance,80,AU,1603843492,77,-37.88,147.98,293.15,1.34
Bograd,100,RU,1603843136,100,54.23,90.83,270.15,1
Preobrazheniye,61,RU,1603843493,71,42.9,133.91,283.72,2.31
Jiuquan,71,CN,1603843493,78,39.74,98.52,275.06,2.02
Hornepayne,100,CA,1603843237,91,49.21,-84.77,270.48,6.64
Solnechnyy,68,RU,1603843494,85,50.72,136.63,274.96,1.09
Aripuana,100,BR,1603843169,83,-9.17,-60.63,298.27,1.24
Puri,6,IN,1603843494,62,19.8,85.85,296.9,3.68
Santa vitoria do palmar,100,BR,1603843325,94,-33.52,-53.37,289.82,6.25
Pitimbu,20,BR,1603843494,78,-7.47,-34.81,299.15,4.1
Gao,0,ML,1603843294,15,16.64,1.64,299.85,4.12
Verkh-usugli,12,RU,1603843495,88,52.7,115.17,265.26,0.91
Nsanje,0,MW,1603843495,86,-16.92,35.26,294.99,2.15
Yar-sale,41,RU,1603843495,92,66.83,70.83,256.45,2.45
Nacozari,0,MX,1603843495,27,25.34,-108.26,297.04,6.71
Karacabey,0,TR,1603843497,60,40.22,28.4,290.37,1.57
Dorogobuzh,20,RU,1603843497,83,54.91,33.3,279.47,3.91
Nalut,27,LY,1603843497,93,30.33,10.85,286.15,4.32
Oktyabrskoye,11,RU,1603843497,93,43.06,44.74,284.15,2
Yining,46,CN,1603843498,85,29.04,114.56,289.68,1
Anzio,5,IT,1603843498,92,41.49,12.62,284.82,0.89
Omsukchan,4,RU,1603843498,83,62.53,155.8,263.6,1.53
Krasnyy kholm,34,RU,1603843498,89,58.06,37.12,279.14,5.26
Sinnamary,64,GF,1603843499,80,5.38,-52.95,300.1,4.69
Qaqortoq,100,GL,1603843499,99,60.72,-46.03,271.68,1.77
Lowicz,97,PL,1603843499,99,52.11,19.95,283.71,1.97
Sobolevo,11,RU,1603843163,85,54.43,31.9,279.53,4.31
Malartic,75,CA,1603843220,86,48.13,-78.13,270.93,5.1
Coquimbo,0,CL,1603842860,82,-29.95,-71.34,286.15,5.1
Shu,93,KZ,1603843499,85,43.6,73.76,275.37,0.89
Dumas,40,US,1603843500,86,35.87,-101.97,270.93,4.58
Changping,94,CN,1603843500,21,40.22,116.22,286.48,4.47
Severnyy-kospashskiy,93,RU,1603843500,91,59.09,57.8,269.26,0.45
Bay roberts,90,CA,1603843500,100,47.6,-53.26,278.15,5.7
Huanan,0,CN,1603843500,72,46.22,130.52,276.04,4.71
Havoysund,0,NO,1603843501,76,71,24.66,273.15,5.1
Araguari,0,BR,1603843501,64,-18.65,-48.19,297.15,3.6
Mont-dore,82,NC,1603843501,87,-22.28,166.58,302.59,5.27
Newport,0,GB,1603843269,94,51.59,-3,282.04,0.89
Jacqueville,75,CI,1603843502,94,5.21,-4.41,300.15,3.1
Aqtobe,0,KZ,1603843502,92,50.28,57.21,268.15,2
Grindavik,0,IS,1603843254,55,63.84,-22.43,277.15,11.8
Touros,40,BR,1603843503,83,-5.2,-35.46,299.15,4.1
Samarai,26,PG,1603843196,79,-10.62,150.67,301.37,4.22
Trussville,90,US,1603843503,78,33.62,-86.61,297.15,1.5
Valparaiso,0,CL,1603843044,76,-33.04,-71.63,287.15,2.6
Biak,100,ID,1603843503,65,-0.91,122.88,301.04,1.81
Qatana,70,SY,1603843503,80,33.44,36.08,290.37,1.13
Sirjan,0,IR,1603843503,43,29.45,55.68,282.06,2.17
Naryan-mar,100,RU,1603843504,96,67.67,53.09,274.31,4.48
Svetlaya,62,RU,1603843504,66,46.54,138.33,280.68,1.8
Udachnyy,90,RU,1603843504,88,66.42,112.4,247.7,1.28
Mossendjo,100,CG,1603843504,98,-2.95,12.73,295.03,1.78
Shingu,40,JP,1603843187,63,33.73,135.98,290.15,2.6
Isangel,22,VU,1603843134,69,-19.55,169.27,299.66,7.19
